COUNTY,STATE,ZHVI_2020,ZHVI_2021,ZHVI_2023,WFIR_AFREQ_2020,WFIR_EXPT_2020,WFIR_RISKS_2020,WFIR_AFREQ_2021,WFIR_EXPT_2021,WFIR_RISKS_2021,WFIR_AFREQ_2023,WFIR_EXPT_2023,WFIR_RISKS_2023
San Joaquin County,CA,400276.1271863575,477169.4121455521,518263.1924641776,0.001276286974389,6006234016.310124,10.20193475978293,0.001276286974389,6298465748.150747,10.197494142812728,0.00311714369305,24505412762.3156,85.26885141584474
Cobb County,GA,283333.392236379,330645.06609403825,408063.73985112255,3.3963281396e-05,5720081369.850938,1.683986837928617,3.3963281396e-05,5871988825.857546,1.682098568120159,2.4705954128e-05,475425043251.097,53.77028316894686
San Mateo County,CA,1339887.2793524107,1459969.8457893888,1485632.7043992083,0.003464623199543,106282916594.98232,16.606605552315678,0.003464623199543,109136958601.95905,16.470910827699385,0.001504434476858,352653873012.11426,91.7912822144448
Monroe County,NY,162067.1821329427,185486.12036137944,224970.7528218003,4.830909902e-06,12778034408.533825,2.026137023137176,4.830909902e-06,13118698944.605736,1.987984343956118,2.2948856525e-05,684984187031.1006,60.83359847279669
Lee County,FL,241748.8387358399,290288.6120027371,394839.6719858223,0.002948583161281,292144981161.4556,51.03301399231772,0.002948583161281,299945904549.78033,51.05189928289696,0.006207067828853,537906482534.6079,97.9955456570156
El Paso County,CO,344898.6304603819,404491.8231911375,447832.7650584515,0.001532684705499,402178863360.0113,20.48912105572757,0.001532684705499,412871658508.0488,20.478009066161125,0.001999211770217,1337500130113.3604,98.18644607063317
Norfolk County,MA,535131.8866128287,596342.8779817568,666138.0858770589,3.0744866487e-05,46906011085.771,2.29563285225133,3.0744866487e-05,48149545630.41387,2.338536342449743,5.7273046603e-05,311353783059.037,63.95163856188354
Lake County,IL,250464.2350259453,278943.1882315246,323182.0007626698,4.490675644e-06,14921637535.934862,1.367596603480436,4.490675644e-06,15317720071.773432,1.34617644173581,1.9003765244e-05,553586474997.8849,59.05186127903277
Jackson County,MO,157022.19694638698,182473.0117224356,215325.26383451364,4.6732081251e-05,15892359381.028755,3.660070676184917,4.6732081251e-05,16316495714.486689,3.625706901845577,2.2336482833e-05,1054243957162.076,60.51543111676742
Polk County,FL,204180.3237985424,239235.8785982024,309341.76561972406,0.009301000011663,587782485636.9484,48.529933763887406,0.009301000011663,603620062799.6617,48.54383602288088,0.007869197254165,621384466544.2223,99.04549793191218
Hudson County,NJ,500025.0761241901,537076.4569211209,568786.789542913,7.97145257e-06,3444255.180896942,1.160198015038147,7.97145257e-06,3444255.180896942,1.160336235600824,1.8349021975e-05,35550610492.090096,4.549793191218581
Davidson County,TN,296920.24453690246,339652.5663325275,419203.1701688804,2.5510982034e-05,116540386.92024672,0.468811779085231,2.5510982034e-05,119649720.28216565,0.458598850762491,1.0002078023e-05,3375088294046.2144,72.22398981864461
Denver County,CO,449142.67142329033,506392.9007154655,557886.1703184898,0.000100107081032,3634262092.5096855,3.390840230001881,0.000100107081032,3731518539.4762,3.373427001878065,0.000102922057637,194916475851.2064,56.22017181037226
Will County,IL,244199.81328661763,270202.05647556897,312618.6021102436,1.1142996917e-05,13543392294.930847,1.319867085108388,1.1142996917e-05,13906350502.781296,1.297446548525599,0.000218391177022,104797106876.66484,70.18771874005726
Bernalillo County,NM,219670.3415231067,256156.75540374147,310588.5100733694,0.000736041121984,112346539727.32402,17.32853098266202,0.000736041121984,115339815449.88036,17.321943047564776,0.000590626715377,401299585912.9909,86.35062042634425
Jefferson County,AL,151737.76556145598,173898.63977589615,203214.4985854753,0.000311691940864,2565484163.8356266,3.301665819806909,0.000311691940864,2633866365.1372848,3.225738588802887,1.2707777425e-05,785261861708.738,54.34298440979956
Tulsa County,OK,160938.3360729889,182971.87729685783,218702.02119641544,0.00322706867705,93858952681.81989,22.875641365812964,0.00322706867705,96362948181.79388,23.066404213900167,0.00309466575653,258064265503.00403,94.20935412026726
Providence County,RI,277020.70331627585,322389.95074463804,377766.3024224734,4.0152249962e-05,11617751931.197334,3.783524526392653,4.0152249962e-05,11926625859.022251,3.862431411237151,2.4029613841e-05,186169272885.736,37.73464842507159
